"Client","Project","Service Request","Sample","Lab Code","Sample Type","Date Collected","Date Received","Date Extracted","Date Analyzed","Extraction Method","Method","Matrix","Basis","Units","Component","Dilution Factor","Reporting Limit","Detection Limit","Result","Result Notes","Spike Concentration","Percent Recovery","Acceptance Limits","Average","RPD","Retention Time","Regulatory Limit"
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 6.5-CUNNINGHAM PARK","K2405043-004","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Magnesium, Total","1","10","2","8790","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 6.5-CUNNINGHAM PARK","K2405043-004","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Zinc, Total","1","2.0","0.5","63.1","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 10-BEAVER CREEK","K2405043-005","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Calcium, Total","1","20","6","9310","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 10-BEAVER CREEK","K2405043-005","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Copper, Total","1","0.10","0.05","3.47","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 10-BEAVER CREEK","K2405043-005","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Iron, Total","1","2.0","0.3","5260","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 10-BEAVER CREEK","K2405043-005","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Magnesium, Total","1","10","2","2970","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 10-BEAVER CREEK","K2405043-005","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Zinc, Total","1","2.0","0.5","9.2","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 10.1-KENAI RIVER","K2405043-006","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Calcium, Total","1","20","6","11500","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 10.1-KENAI RIVER","K2405043-006","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Copper, Total","1","0.10","0.05","1.24","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 10.1-KENAI RIVER","K2405043-006","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Iron, Total","1","2.0","0.3","729","=","","","","","","",""
