"","monitoring_location_id","activity_media_name","activity_media_subdivision_name","activity_id","activity_start_date","activity_start_time","activity_end_date","activity_end_time","activity_latitude","activity_longitude","activity_source_map_scale","activity_type","activity_depth_height_measure","activity_depth_height_unit","activity_top_depth_height_measure","activity_top_depth_height_unit","activity_bottom_depth_height_measure","activity_bottom_depth_height_unit","activity_relative_depth_name","activity_comment","characteristic_name","result_analytical_method_id","result_analytical_method_context","method_speciation","result_value","result_unit","result_qualifier","result_weight_basis","statistical_base_code","result_sample_fraction","result_value_type","result_comment","sample_collection_method_id","equipment_id","result_detection_condition","result_detection_limit_type_1","result_detection_limit_value_1","result_detection_limit_unit_1","result_detection_limit_type_2","result_detection_limit_value_2","result_detection_limit_unit_2","laboratory_accreditation_indicator","laboratory_name","laboratory_sample_id","analysis_start_date","analysis_start_time","biological_intent","subject_taxonomic_name","thermal_preservative","sample_container_type","sample_container_color","chemical_preservative","flag","time_zone"
"11",10000002,"Water","Surface Water","10000002-2025-04-30-Cd","2025-04-30","10:26:00.000000",NA,NA,60.54368,-151.22294,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Cadmium","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",0.5,"ug/L","Method Detection Level",0.375,"ug/L",NA,"SGS",1251731026,"2025-05-02","19:31:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"12",10000002,"Water","Surface Water","10000002-2025-04-30-Cr","2025-04-30","10:26:00.000000",NA,NA,60.54368,-151.22294,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Chromium","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",5,"ug/L","Method Detection Level",3.75,"ug/L",NA,"SGS",1251731026,"2025-05-02","19:31:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"13",10000002,"Water","Surface Water","10000002-2025-04-30-Pb","2025-04-30","10:26:00.000000",NA,NA,60.54368,-151.22294,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Lead","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",2,"ug/L","Method Detection Level",1.5,"ug/L",NA,"SGS",1251731026,"2025-05-02","19:31:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"14",10000002,"Water","Surface Water","10000002-2025-04-30-Cd-NA","2025-04-30","10:23:00.000000",NA,NA,60.54368,-151.22294,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Cadmium","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",0.5,"ug/L","Method Detection Level",0.375,"ug/L",NA,"SGS",1251731038,"2025-05-08","11:05:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"15",10000002,"Water","Surface Water","10000002-2025-04-30-Cr-NA","2025-04-30","10:23:00.000000",NA,NA,60.54368,-151.22294,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Chromium","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",5,"ug/L","Method Detection Level",3.75,"ug/L",NA,"SGS",1251731038,"2025-05-08","11:05:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"16",10000002,"Water","Surface Water","10000002-2025-04-30-Cu-NA","2025-04-30","10:23:00.000000",NA,NA,60.54368,-151.22294,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Copper","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",3,"ug/L","Method Detection Level",2.25,"ug/L",NA,"SGS",1251731038,"2025-05-08","11:05:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"17",10000002,"Water","Surface Water","10000002-2025-04-30-Pb-NA","2025-04-30","10:23:00.000000",NA,NA,60.54368,-151.22294,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Lead","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",2,"ug/L","Method Detection Level",1.5,"ug/L",NA,"SGS",1251731038,"2025-05-08","11:05:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"18",10000015,"Water","Surface Water","10000015-2025-04-30-Cd","2025-04-30","09:50:00.000000",NA,NA,60.548029,-151.14324,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Cadmium","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",0.5,"ug/L","Method Detection Level",0.375,"ug/L",NA,"SGS",1251731027,"2025-05-02","19:34:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"19",10000015,"Water","Surface Water","10000015-2025-04-30-Cr","2025-04-30","09:50:00.000000",NA,NA,60.548029,-151.14324,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Chromium","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",5,"ug/L","Method Detection Level",3.75,"ug/L",NA,"SGS",1251731027,"2025-05-02","19:34:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"20",10000015,"Water","Surface Water","10000015-2025-04-30-Cu","2025-04-30","09:50:00.000000",NA,NA,60.548029,-151.14324,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Copper","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",3,"ug/L","Method Detection Level",2.25,"ug/L",NA,"SGS",1251731027,"2025-05-02","19:34:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"21",10000015,"Water","Surface Water","10000015-2025-04-30-Pb","2025-04-30","09:50:00.000000",NA,NA,60.548029,-151.14324,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Lead","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",2,"ug/L","Method Detection Level",1.5,"ug/L",NA,"SGS",1251731027,"2025-05-02","19:34:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"22",10000018,"Water","Surface Water","10000018-2025-04-30-As","2025-04-30","10:47:00.000000",NA,NA,60.502005,-151.106973,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Arsenic","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",5,"ug/L","Method Detection Level",3.75,"ug/L",NA,"SGS",1251731029,"2025-05-02","19:40:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"23",10000018,"Water","Surface Water","10000018-2025-04-30-Cd","2025-04-30","10:47:00.000000",NA,NA,60.502005,-151.106973,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Cadmium","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",0.5,"ug/L","Method Detection Level",0.375,"ug/L",NA,"SGS",1251731029,"2025-05-02","19:40:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"24",10000018,"Water","Surface Water","10000018-2025-04-30-Cr","2025-04-30","10:47:00.000000",NA,NA,60.502005,-151.106973,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Chromium","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",5,"ug/L","Method Detection Level",3.75,"ug/L",NA,"SGS",1251731029,"2025-05-02","19:40:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"25",10000018,"Water","Surface Water","10000018-2025-04-30-Cu","2025-04-30","10:47:00.000000",NA,NA,60.502005,-151.106973,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Copper","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",3,"ug/L","Method Detection Level",2.25,"ug/L",NA,"SGS",1251731029,"2025-05-02","19:40:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"26",10000018,"Water","Surface Water","10000018-2025-04-30-Pb","2025-04-30","10:47:00.000000",NA,NA,60.502005,-151.106973,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Lead","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",2,"ug/L","Method Detection Level",1.5,"ug/L",NA,"SGS",1251731029,"2025-05-02","19:40:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"27",10000018,"Water","Surface Water","10000018-2025-04-30-As-DUP","2025-04-30","10:47:00.000000",NA,NA,60.502005,-151.106973,NA,"Quality Control Field Replicate Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Arsenic","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",5,"ug/L","Method Detection Level",3.75,"ug/L",NA,"SGS",1251731030,"2025-05-02","19:43:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"28",10000018,"Water","Surface Water","10000018-2025-04-30-Cd-DUP","2025-04-30","10:47:00.000000",NA,NA,60.502005,-151.106973,NA,"Quality Control Field Replicate Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Cadmium","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",0.5,"ug/L","Method Detection Level",0.375,"ug/L",NA,"SGS",1251731030,"2025-05-02","19:43:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"29",10000018,"Water","Surface Water","10000018-2025-04-30-Cr-DUP","2025-04-30","10:47:00.000000",NA,NA,60.502005,-151.106973,NA,"Quality Control Field Replicate Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Chromium","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",5,"ug/L","Method Detection Level",3.75,"ug/L",NA,"SGS",1251731030,"2025-05-02","19:43:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"30",10000018,"Water","Surface Water","10000018-2025-04-30-Cu-DUP","2025-04-30","10:47:00.000000",NA,NA,60.502005,-151.106973,NA,"Quality Control Field Replicate Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Copper","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",3,"ug/L","Method Detection Level",2.25,"ug/L",NA,"SGS",1251731030,"2025-05-02","19:43:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"31",10000020,"Water","Surface Water","10000020-2025-04-30-As-NA","2025-04-30","09:58:00.000000",NA,NA,60.48175453,-151.1306816,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Arsenic","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",5,"ug/L","Method Detection Level",3.75,"ug/L",NA,"SGS",1251731039,"2025-05-08","11:08:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"32",10000020,"Water","Surface Water","10000020-2025-04-30-Cd-NA","2025-04-30","09:58:00.000000",NA,NA,60.48175453,-151.1306816,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Cadmium","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",0.5,"ug/L","Method Detection Level",0.375,"ug/L",NA,"SGS",1251731039,"2025-05-08","11:08:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"33",10000020,"Water","Surface Water","10000020-2025-04-30-Cr-NA","2025-04-30","09:58:00.000000",NA,NA,60.48175453,-151.1306816,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Chromium","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",5,"ug/L","Method Detection Level",3.75,"ug/L",NA,"SGS",1251731039,"2025-05-08","11:08:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"34",10000020,"Water","Surface Water","10000020-2025-04-30-Cu-NA","2025-04-30","09:58:00.000000",NA,NA,60.48175453,-151.1306816,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Copper","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",3,"ug/L","Method Detection Level",2.25,"ug/L",NA,"SGS",1251731039,"2025-05-08","11:08:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"35",10000020,"Water","Surface Water","10000020-2025-04-30-Pb-NA","2025-04-30","09:58:00.000000",NA,NA,60.48175453,-151.1306816,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Lead","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",2,"ug/L","Method Detection Level",1.5,"ug/L",NA,"SGS",1251731039,"2025-05-08","11:08:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"36",10000008,"Water","Surface Water","10000008-2025-04-30-As","2025-04-30","09:48:00.000000",NA,NA,60.550888,-151.268417,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Arsenic","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",5,"ug/L","Method Detection Level",3.75,"ug/L",NA,"SGS",1251731025,"2025-05-02","19:28:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"37",10000002,"Water","Surface Water","10000002-2025-04-30-Ca-NA","2025-04-30","10:23:00.000000",NA,NA,60.54368,-151.22294,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Calcium","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Unfiltered","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",500,"ug/L","Method Detection Level",375,"ug/L",NA,"SGS",1251731023,"2025-05-02","19:22:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"38",10000002,"Water","Surface Water","10000002-2025-04-30-Cu-NA","2025-04-30","10:23:00.000000",NA,NA,60.54368,-151.22294,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Copper","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Unfiltered","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",3,"ug/L","Method Detection Level",2.25,"ug/L",NA,"SGS",1251731023,"2025-05-02","19:22:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"39",10000002,"Water","Surface Water","10000002-2025-04-30-Fe-NA","2025-04-30","10:23:00.000000",NA,NA,60.54368,-151.22294,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Iron","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Unfiltered","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",250,"ug/L","Method Detection Level",188,"ug/L",NA,"SGS",1251731023,"2025-05-02","19:22:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"40",10000002,"Water","Surface Water","10000002-2025-04-30-Mg-NA","2025-04-30","10:23:00.000000",NA,NA,60.54368,-151.22294,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Magnesium","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Unfiltered","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",50,"ug/L","Method Detection Level",37.5,"ug/L",NA,"SGS",1251731023,"2025-05-02","19:22:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"41",10000002,"Water","Surface Water","10000002-2025-04-30-Zn-NA","2025-04-30","10:23:00.000000",NA,NA,60.54368,-151.22294,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Zinc","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Unfiltered","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",10,"ug/L","Method Detection Level",7.5,"ug/L",NA,"SGS",1251731023,"2025-05-02","19:22:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"42",10000002,"Water","Surface Water","10000002-2025-04-30-As-NA","2025-04-30","10:23:00.000000",NA,NA,60.54368,-151.22294,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Arsenic","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",5,"ug/L","Method Detection Level",3.75,"ug/L",NA,"SGS",1251731038,"2025-05-08","11:05:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"43",10000018,"Water","Surface Water","10000018-2025-04-30-Cu","2025-04-30","10:47:00.000000",NA,NA,60.502005,-151.106973,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Copper","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Unfiltered","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",3,"ug/L","Method Detection Level",2.25,"ug/L",NA,"SGS",1251731005,"2025-05-02","15:30:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"44",10000018,"Water","Surface Water","10000018-2025-04-30-Zn","2025-04-30","10:47:00.000000",NA,NA,60.502005,-151.106973,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Zinc","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Unfiltered","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",10,"ug/L","Method Detection Level",7.5,"ug/L",NA,"SGS",1251731005,"2025-05-02","15:30:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"45",10000018,"Water","Surface Water","10000018-2025-04-30-Total P","2025-04-30","10:47:00.000000",NA,NA,60.502005,-151.106973,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Total Phosphorus","4500-P-E","APHA",NA,0,"mg/L","U","Sampled",NA,"Total","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",0.04,"mg/L","Method Detection Level",0.03,"mg/L",NA,"SGS",1251731005,"2025-05-07","09:36:00",NA,NA,"Cold packs","Plastic Bottle","Opaque","H2SO4","N","AKDT"
"46",10000018,"Water","Surface Water","10000018-2025-04-30-Cu-DUP","2025-04-30","10:47:00.000000",NA,NA,60.502005,-151.106973,NA,"Quality Control Field Replicate Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Copper","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Unfiltered","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",3,"ug/L","Method Detection Level",2.25,"ug/L",NA,"SGS",1251731006,"2025-05-02","15:33:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"47",10000018,"Water","Surface Water","10000018-2025-04-30-Pb-DUP","2025-04-30","10:47:00.000000",NA,NA,60.502005,-151.106973,NA,"Quality Control Field Replicate Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Lead","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",2,"ug/L","Method Detection Level",1.5,"ug/L",NA,"SGS",1251731030,"2025-05-02","19:43:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
