"sample_id","collect_date","collect_time","lab_sample_id","sample_type","rec_date","rec_time","run_date","run_time","anl_batch","prp_batch","extraction_code","extracted_date","extracted_time","analyte","cas_number","analyte_flag","analytical_method","result","resultflag","repdl","limit_definition","units","analytical_cut","initial_wt_vol","final_vol","amount_spiked","percent_recovery","rec_limit_low","rec_limit_high","initial_conc","sample_rpd","rpd_limit_low","rpd_limit_high","rep_sig_digs","analysis_group","method_order","analte_order","loq","lod","dl","sdg","run_date_time","percent_recovered","allowable_limit","analyte_order","lab_name","matrix","site_id","monitoring_location_id"
"RM 1.5 Kenai City Dock FB","2023-07-18","10:30:00","1233640050","PS","2023-07-18","17:04:00",NA,NA,"MMS12014","MXX36032","E200.2","2023-07-25","12:56:00","Lead","7439-92-1","N","EP200.8",0,"U",1,"LOD","ug/L",1,20,50,NA,NA,NA,NA,NA,NA,NA,NA,3,"Dissolved Metals by ICP/MS",17,NA,2,1,0.5,"1233640","07/27/2023 17:56",NA,NA,13,"SGS North America, Anchorage, Alaska","Water","RM 1.5 Kenai City Dock FB","10000002"
"RM 1.5 Kenai City Dock FB","2023-07-18","10:30:00","1233640050","PS","2023-07-18","17:04:00",NA,NA,"MMS12014","MXX36032","E200.2","2023-07-25","12:56:00","Arsenic","7440-38-2","N","EP200.8",0,"U",2.5,"LOD","ug/L",1,20,50,NA,NA,NA,NA,NA,NA,NA,NA,3,"Dissolved Metals by ICP/MS",17,NA,5,2.5,1.5,"1233640","07/27/2023 17:56",NA,NA,3,"SGS North America, Anchorage, Alaska","Water","RM 1.5 Kenai City Dock FB","10000002"
"RM 1.5 Kenai City Dock FB","2023-07-18","10:30:00","1233640050","PS","2023-07-18","17:04:00",NA,NA,"MMS12014","MXX36032","E200.2","2023-07-25","12:56:00","Cadmium","7440-43-9","N","EP200.8",0,"U",0.25,"LOD","ug/L",1,20,50,NA,NA,NA,NA,NA,NA,NA,NA,3,"Dissolved Metals by ICP/MS",17,NA,0.5,0.25,0.15,"1233640","07/27/2023 17:56",NA,NA,7,"SGS North America, Anchorage, Alaska","Water","RM 1.5 Kenai City Dock FB","10000002"
"RM 1.5 Kenai City Dock FB","2023-07-18","10:30:00","1233640050","PS","2023-07-18","17:04:00",NA,NA,"MMS12014","MXX36032","E200.2","2023-07-25","12:56:00","Chromium","7440-47-3","N","EP200.8",0,"U",2.5,"LOD","ug/L",1,20,50,NA,NA,NA,NA,NA,NA,NA,NA,3,"Dissolved Metals by ICP/MS",17,NA,5,2.5,2.5,"1233640","07/27/2023 17:56",NA,NA,10,"SGS North America, Anchorage, Alaska","Water","RM 1.5 Kenai City Dock FB","10000002"
"RM1.5-Kenai City Dock","2023-07-18","10:30:00","1233640003","PS","2023-07-18","17:04:00",NA,NA,"MMS12014","MXX36032","E200.2","2023-07-25","12:56:00","Cadmium","7440-43-9","N","EP200.8",0,"U",0.25,"LOD","ug/L",1,20,50,NA,NA,NA,NA,NA,NA,NA,NA,3,"Dissolved Metals by ICP/MS",17,NA,0.5,0.25,0.15,"1233640","07/27/2023 17:06",NA,NA,7,"SGS North America, Anchorage, Alaska","Water","RM1.5-Kenai City Dock","10000002"
"RM1.5-Kenai City Dock","2023-07-18","10:30:00","1233640003","PS","2023-07-18","17:04:00",NA,NA,"MMS12014","MXX36032","E200.2","2023-07-25","12:56:00","Chromium","7440-47-3","N","EP200.8",0,"U",2.5,"LOD","ug/L",1,20,50,NA,NA,NA,NA,NA,NA,NA,NA,3,"Dissolved Metals by ICP/MS",17,NA,5,2.5,2.5,"1233640","07/27/2023 17:06",NA,NA,10,"SGS North America, Anchorage, Alaska","Water","RM1.5-Kenai City Dock","10000002"
"RM1.5-Kenai City Dock","2023-07-18","10:30:00","1233640003","PS","2023-07-18","17:04:00",NA,NA,"MMS12014","MXX36032","E200.2","2023-07-25","12:56:00","Lead","7439-92-1","N","EP200.8",0,"U",1,"LOD","ug/L",1,20,50,NA,NA,NA,NA,NA,NA,NA,NA,3,"Dissolved Metals by ICP/MS",17,NA,2,1,0.5,"1233640","07/27/2023 17:06",NA,NA,13,"SGS North America, Anchorage, Alaska","Water","RM1.5-Kenai City Dock","10000002"
"RM 1.5 Kenai City Dock FB","2023-07-18","10:30:00","1233640050","PS","2023-07-18","17:04:00",NA,NA,"MMS12014","MXX36032","E200.2","2023-07-25","12:56:00","Zinc","7440-66-6","N","EP200.8",4.31,"J",5,"LOD","ug/L",1,20,50,NA,NA,NA,NA,NA,NA,NA,NA,3,"Dissolved Metals by ICP/MS",17,NA,10,5,3.1,"1233640","07/27/2023 17:56",NA,NA,32,"SGS North America, Anchorage, Alaska","Water","RM 1.5 Kenai City Dock FB","10000002"
"RM1.5-Kenai City Dock","2023-07-18","10:30:00","1233640003","PS","2023-07-18","17:04:00",NA,NA,"MMS12014","MXX36032","E200.2","2023-07-25","12:56:00","Arsenic","7440-38-2","N","EP200.8",1.78,"J",2.5,"LOD","ug/L",1,20,50,NA,NA,NA,NA,NA,NA,NA,NA,3,"Dissolved Metals by ICP/MS",17,NA,5,2.5,1.5,"1233640","07/27/2023 17:06",NA,NA,3,"SGS North America, Anchorage, Alaska","Water","RM1.5-Kenai City Dock","10000002"
"RM1.5-Kenai City Dock","2023-07-18","10:30:00","1233640003","PS","2023-07-18","17:04:00",NA,NA,"MMS12014","MXX36032","E200.2","2023-07-25","12:56:00","Copper","7440-50-8","N","EP200.8",1.78,"J",1.5,"LOD","ug/L",1,20,50,NA,NA,NA,NA,NA,NA,NA,NA,3,"Dissolved Metals by ICP/MS",17,NA,3,1.5,1,"1233640","07/27/2023 17:06",NA,NA,42,"SGS North America, Anchorage, Alaska","Water","RM1.5-Kenai City Dock","10000002"
